,client_id,f_segment_degrease_prob,f_segment_from,f_segment_to,m_segment_degrease_prob,m_segment_from,m_segment_to,r_segment_degrease_prob,r_segment_from,r_segment_to
2,13169_id,,,,0.005531580384766793,3.0,4.0,,,
6,15915_id,,,,0.027507998017937414,3.0,4.0,,,
9,14922_id,,,,0.03941716755623023,3.0,4.0,,,
13,14731_id,,,,0.031859148790408874,3.0,4.0,,,
14,17929_id,,,,0.04864443556525609,3.0,4.0,,,
15,15628_id,,,,0.03941716755623023,3.0,4.0,,,
16,16022_id,,,,0.01458276725984447,3.0,4.0,,,
18,15785_id,,,,0.01098171542970048,3.0,4.0,,,
19,12160_id,,,,0.007953318050452044,3.0,4.0,,,
20,12752_id,,,,0.005531580384766793,3.0,4.0,,,
21,14408_id,,,,0.031859148790408874,3.0,4.0,,,
22,12837_id,,,,0.005531580384766793,3.0,4.0,,,
24,13438_id,,,,0.007953318050452044,3.0,4.0,,,
25,12344_id,,,,0.007953318050452044,3.0,4.0,,,
28,16598_id,,,,0.0477725760690343,3.0,4.0,,,
29,15487_id,,,,0.01458276725984447,3.0,4.0,,,
30,12386_id,,,,0.007953318050452044,3.0,4.0,,,
34,15507_id,,,,0.01865447604440183,3.0,4.0,,,
35,14452_id,,,,0.01865447604440183,3.0,4.0,,,
36,17706_id,,,,0.049210976829260226,3.0,4.0,,,
37,15574_id,,,,0.02303226608828289,3.0,4.0,,,
38,15906_id,,,,0.03941716755623023,3.0,4.0,,,
39,12061_id,,,,0.005531580384766793,3.0,4.0,,,
40,16033_id,,,,0.02303226608828289,3.0,4.0,,,
41,17063_id,,,,0.04472146860494034,3.0,4.0,,,
42,13840_id,,,,0.005531580384766793,3.0,4.0,,,
44,14556_id,,,,0.03941716755623023,3.0,4.0,,,
45,14920_id,,,,0.02303226608828289,3.0,4.0,,,
46,15577_id,,,,0.031859148790408874,3.0,4.0,,,
47,16341_id,,,,0.04237252248460365,3.0,4.0,,,
48,14535_id,,,,0.01098171542970048,3.0,4.0,,,
49,11986_id,,,,0.007953318050452044,3.0,4.0,,,
50,17584_id,,,,0.049210976829260226,3.0,4.0,,,
51,14883_id,,,,0.02303226608828289,3.0,4.0,,,
52,12076_id,,,,0.007953318050452044,3.0,4.0,,,
53,12573_id,,,,0.007953318050452044,3.0,4.0,,,
54,13770_id,,,,0.007953318050452044,3.0,4.0,,,
57,12189_id,,,,0.005531580384766793,3.0,4.0,,,
60,15802_id,,,,0.01098171542970048,3.0,4.0,,,
61,14527_id,,,,0.03588145484205067,3.0,4.0,,,
64,15368_id,,,,0.031859148790408874,3.0,4.0,,,
71,14268_id,,,,0.03941716755623023,3.0,4.0,,,
74,15414_id,,,,0.02303226608828289,3.0,4.0,,,
75,15707_id,,,,0.03941716755623023,3.0,4.0,,,
76,16741_id,,,,0.04237252248460365,3.0,4.0,,,
78,17649_id,,,,0.04864443556525609,3.0,4.0,,,
79,14329_id,,,,0.03588145484205067,3.0,4.0,,,
80,15422_id,,,,0.01098171542970048,3.0,4.0,,,
81,13252_id,,,,0.007953318050452044,3.0,4.0,,,
83,13956_id,,,,0.007953318050452044,3.0,4.0,,,
84,17434_id,,,,0.0477725760690343,3.0,4.0,,,
85,15378_id,,,,0.01098171542970048,3.0,4.0,,,
88,17558_id,,,,0.04864443556525609,3.0,4.0,,,
89,15709_id,,,,0.02303226608828289,3.0,4.0,,,
90,13968_id,,,,0.005531580384766793,3.0,4.0,,,
93,14770_id,,,,0.01865447604440183,3.0,4.0,,,
94,14361_id,,,,0.027507998017937414,3.0,4.0,,,
95,16089_id,,,,0.03941716755623023,3.0,4.0,,,
96,16119_id,,,,0.01458276725984447,3.0,4.0,,,
99,14711_id,,,,0.03588145484205067,3.0,4.0,,,
100,16134_id,,,,0.03588145484205067,3.0,4.0,,,
101,16637_id,,,,0.04237252248460365,3.0,4.0,,,
103,13441_id,,,,0.007953318050452044,3.0,4.0,,,
105,16491_id,,,,0.049210976829260226,3.0,4.0,,,
106,14859_id,,,,0.01865447604440183,3.0,4.0,,,
107,16834_id,,,,0.04864443556525609,3.0,4.0,,,
109,15397_id,,,,0.01865447604440183,3.0,4.0,,,
110,13758_id,,,,0.007953318050452044,3.0,4.0,,,
111,14790_id,,,,0.01098171542970048,3.0,4.0,,,
112,13027_id,,,,0.005531580384766793,3.0,4.0,,,
114,13849_id,,,,0.007953318050452044,3.0,4.0,,,
116,16137_id,,,,0.01098171542970048,3.0,4.0,,,
117,15061_id,,,,0.027507998017937414,3.0,4.0,,,
120,16715_id,,,,0.04864443556525609,3.0,4.0,,,
121,16973_id,,,,0.04472146860494034,3.0,4.0,,,
125,14625_id,,,,0.01458276725984447,3.0,4.0,,,
126,15099_id,,,,0.03941716755623023,3.0,4.0,,,
127,12166_id,,,,0.005531580384766793,3.0,4.0,,,
128,16190_id,,,,0.02303226608828289,3.0,4.0,,,
129,14305_id,,,,0.01098171542970048,3.0,4.0,,,
130,17146_id,,,,0.04237252248460365,3.0,4.0,,,
134,14851_id,,,,0.03941716755623023,3.0,4.0,,,
135,17968_id,,,,0.0477725760690343,3.0,4.0,,,
137,15555_id,,,,0.03941716755623023,3.0,4.0,,,
140,15672_id,,,,0.03941716755623023,3.0,4.0,,,
142,15164_id,,,,0.01458276725984447,3.0,4.0,,,
144,15039_id,,,,0.01865447604440183,3.0,4.0,,,
146,14412_id,,,,0.01458276725984447,3.0,4.0,,,
147,13153_id,,,,0.007953318050452044,3.0,4.0,,,
148,15251_id,,,,0.03941716755623023,3.0,4.0,,,
152,15243_id,,,,0.02303226608828289,3.0,4.0,,,
155,14835_id,,,,0.031859148790408874,3.0,4.0,,,
156,17667_id,,,,0.04864443556525609,3.0,4.0,,,
160,14530_id,,,,0.01865447604440183,3.0,4.0,,,
161,11695_id,,,,0.007953318050452044,3.0,4.0,,,
164,12862_id,,,,0.007953318050452044,3.0,4.0,,,
165,12756_id,,,,0.005531580384766793,3.0,4.0,,,
166,15212_id,,,,0.01098171542970048,3.0,4.0,,,
167,15095_id,,,,0.03941716755623023,3.0,4.0,,,
168,16952_id,,,,0.04649674955005881,3.0,4.0,,,
169,14134_id,,,,0.007953318050452044,3.0,4.0,,,
170,14975_id,,,,0.01098171542970048,3.0,4.0,,,
171,16105_id,,,,0.03588145484205067,3.0,4.0,,,
172,14613_id,,,,0.03588145484205067,3.0,4.0,,,
173,14472_id,,,,0.02303226608828289,3.0,4.0,,,
174,17116_id,,,,0.0477725760690343,3.0,4.0,,,
175,17491_id,,,,0.04864443556525609,3.0,4.0,,,
178,16225_id,,,,0.04864443556525609,3.0,4.0,,,
180,15994_id,,,,0.03941716755623023,3.0,4.0,,,
181,14813_id,,,,0.01865447604440183,3.0,4.0,,,
182,16083_id,,,,0.027507998017937414,3.0,4.0,,,
186,16223_id,,,,0.0477725760690343,3.0,4.0,,,
190,15205_id,,,,0.03588145484205067,3.0,4.0,,,
191,16805_id,,,,0.04649674955005881,3.0,4.0,,,
192,15937_id,,,,0.031859148790408874,3.0,4.0,,,
194,15085_id,,,,0.03588145484205067,3.0,4.0,,,
196,15375_id,,,,0.027507998017937414,3.0,4.0,,,
198,13940_id,,,,0.005531580384766793,3.0,4.0,,,
199,13333_id,,,,0.005531580384766793,3.0,4.0,,,
200,13607_id,,,,0.005531580384766793,3.0,4.0,,,
201,15664_id,,,,0.027507998017937414,3.0,4.0,,,
204,15028_id,,,,0.027507998017937414,3.0,4.0,,,
207,15339_id,,,,0.02303226608828289,3.0,4.0,,,
208,12202_id,,,,0.005531580384766793,3.0,4.0,,,
209,13125_id,,,,0.007953318050452044,3.0,4.0,,,
212,14950_id,,,,0.031859148790408874,3.0,4.0,,,
213,14999_id,,,,0.03588145484205067,3.0,4.0,,,
214,11861_id,,,,0.007953318050452044,3.0,4.0,,,
217,14645_id,,,,0.031859148790408874,3.0,4.0,,,
219,17311_id,,,,0.04649674955005881,3.0,4.0,,,
221,15447_id,,,,0.01458276725984447,3.0,4.0,,,
222,16265_id,,,,0.049210976829260226,3.0,4.0,,,
224,15412_id,,,,0.02303226608828289,3.0,4.0,,,
225,15306_id,,,,0.01098171542970048,3.0,4.0,,,
226,14539_id,,,,0.03588145484205067,3.0,4.0,,,
227,15440_id,,,,0.01865447604440183,3.0,4.0,,,
228,11803_id,,,,0.005531580384766793,3.0,4.0,,,
229,14010_id,,,,0.007953318050452044,3.0,4.0,,,
230,13731_id,,,,0.005531580384766793,3.0,4.0,,,
231,14797_id,,,,0.01865447604440183,3.0,4.0,,,
232,13779_id,,,,0.007953318050452044,3.0,4.0,,,
233,12272_id,,,,0.007953318050452044,3.0,4.0,,,
234,12379_id,,,,0.005531580384766793,3.0,4.0,,,
235,14810_id,,,,0.01458276725984447,3.0,4.0,,,
236,14428_id,,,,0.01458276725984447,3.0,4.0,,,
237,11878_id,,,,0.005531580384766793,3.0,4.0,,,
238,16450_id,,,,0.04472146860494034,3.0,4.0,,,
239,14606_id,,,,0.027507998017937414,3.0,4.0,,,
240,15008_id,,,,0.01098171542970048,3.0,4.0,,,
242,13255_id,,,,0.005531580384766793,3.0,4.0,,,
243,17466_id,,,,0.049210976829260226,3.0,4.0,,,
245,15490_id,,,,0.027507998017937414,3.0,4.0,,,
246,17695_id,,,,0.049210976829260226,3.0,4.0,,,
247,14862_id,,,,0.02303226608828289,3.0,4.0,,,
248,12779_id,,,,0.007953318050452044,3.0,4.0,,,
249,13179_id,,,,0.005531580384766793,3.0,4.0,,,
250,12839_id,,,,0.007953318050452044,3.0,4.0,,,
251,15459_id,,,,0.01458276725984447,3.0,4.0,,,
252,15200_id,,,,0.031859148790408874,3.0,4.0,,,
254,12031_id,,,,0.007953318050452044,3.0,4.0,,,
256,16189_id,,,,0.02303226608828289,3.0,4.0,,,
259,15299_id,,,,0.03941716755623023,3.0,4.0,,,
260,16147_id,,,,0.03588145484205067,3.0,4.0,,,
263,14774_id,,,,0.031859148790408874,3.0,4.0,,,
265,14932_id,,,,0.03941716755623023,3.0,4.0,,,
266,12177_id,,,,0.007953318050452044,3.0,4.0,,,
268,11946_id,,,,0.005531580384766793,3.0,4.0,,,
271,12366_id,,,,0.007953318050452044,3.0,4.0,,,
272,14366_id,,,,0.01865447604440183,3.0,4.0,,,
273,14846_id,,,,0.02303226608828289,3.0,4.0,,,
274,15471_id,,,,0.01098171542970048,3.0,4.0,,,
275,15232_id,,,,0.01098171542970048,3.0,4.0,,,
276,15620_id,,,,0.03588145484205067,3.0,4.0,,,
278,14818_id,,,,0.01865447604440183,3.0,4.0,,,
279,14340_id,,,,0.01098171542970048,3.0,4.0,,,
287,12527_id,,,,0.007953318050452044,3.0,4.0,,,
288,15111_id,,,,0.01458276725984447,3.0,4.0,,,
292,12461_id,,,,0.007953318050452044,3.0,4.0,,,
294,15630_id,,,,0.03588145484205067,3.0,4.0,,,
295,17569_id,,,,0.0477725760690343,3.0,4.0,,,
297,12611_id,,,,0.005531580384766793,3.0,4.0,,,
298,15116_id,,,,0.031859148790408874,3.0,4.0,,,
300,14917_id,,,,0.03941716755623023,3.0,4.0,,,
302,14898_id,,,,0.01098171542970048,3.0,4.0,,,
304,15691_id,,,,0.03941716755623023,3.0,4.0,,,
305,11972_id,,,,0.007953318050452044,3.0,4.0,,,
306,11697_id,,,,0.007953318050452044,3.0,4.0,,,
307,16602_id,,,,0.04864443556525609,3.0,4.0,,,
308,16037_id,,,,0.01098171542970048,3.0,4.0,,,
309,11751_id,,,,0.007953318050452044,3.0,4.0,,,
310,14263_id,,,,0.03588145484205067,3.0,4.0,,,
311,15004_id,,,,0.02303226608828289,3.0,4.0,,,
314,14951_id,,,,0.027507998017937414,3.0,4.0,,,
316,12877_id,,,,0.005531580384766793,3.0,4.0,,,
317,11950_id,,,,0.007953318050452044,3.0,4.0,,,
320,15669_id,,,,0.031859148790408874,3.0,4.0,,,
322,16629_id,,,,0.04864443556525609,3.0,4.0,,,
324,16858_id,,,,0.04864443556525609,3.0,4.0,,,
325,14400_id,,,,0.027507998017937414,3.0,4.0,,,
327,17893_id,,,,0.04864443556525609,3.0,4.0,,,
328,14945_id,,,,0.03941716755623023,3.0,4.0,,,
331,12776_id,,,,0.007953318050452044,3.0,4.0,,,
332,14815_id,,,,0.031859148790408874,3.0,4.0,,,
334,16415_id,,,,0.04649674955005881,3.0,4.0,,,
335,14204_id,,,,0.02303226608828289,3.0,4.0,,,
336,14794_id,,,,0.03588145484205067,3.0,4.0,,,
337,11781_id,,,,0.005531580384766793,3.0,4.0,,,
338,12830_id,,,,0.005531580384766793,3.0,4.0,,,
339,16013_id,,,,0.02303226608828289,3.0,4.0,,,
340,14464_id,,,,0.031859148790408874,3.0,4.0,,,
341,16878_id,,,,0.049210976829260226,3.0,4.0,,,
