,client_id,monetary,recency,frequency,age,education,gender
0,1218_id,12,153,14,19.0,bachelor,male
1,7761_id,19,287,139,18.0,bachelor,male
2,18440_id,53,748,1504,18.0,bachelor,male
3,17199_id,41,678,528,21.0,bachelor,female
4,2593_id,14,147,37,21.0,bachelor,male
5,13169_id,25,530,317,20.0,bachelor,female
6,18237_id,53,739,1901,18.0,bachelor,female
7,1307_id,14,163,19,21.0,bachelor,male
8,18378_id,54,910,2256,19.0,bachelor,female
9,18350_id,52,1072,1614,19.0,bachelor,female
10,3209_id,18,227,69,19.0,bachelor,female
11,15915_id,31,688,461,18.0,bachelor,female
12,16513_id,49,615,677,18.0,bachelor,male
13,9499_id,21,451,165,19.0,bachelor,female
14,4281_id,18,197,62,20.0,bachelor,male
15,268_id,12,17,14,19.0,bachelor,male
16,3088_id,12,100,39,18.0,bachelor,female
17,8667_id,20,325,176,18.0,bachelor,male
18,8073_id,19,291,113,18.0,bachelor,male
19,18846_id,57,1331,4497,19.0,bachelor,female
20,19740_id,89,3544,8007,18.0,bachelor,male
21,19690_id,95,2827,7780,19.0,bachelor,male
22,14922_id,34,480,357,19.0,bachelor,male
23,8381_id,21,251,104,19.0,bachelor,male
24,2686_id,13,146,21,21.0,bachelor,male
25,11275_id,21,434,150,20.0,bachelor,female
26,16509_id,45,717,778,19.0,bachelor,female
27,5842_id,18,270,91,21.0,bachelor,female
28,3845_id,15,201,42,21.0,bachelor,female
29,2452_id,13,105,39,18.0,bachelor,female
30,13097_id,22,581,306,19.0,bachelor,male
31,16641_id,44,661,727,20.0,bachelor,female
32,18377_id,52,894,1119,21.0,bachelor,female
33,14731_id,32,551,421,19.0,bachelor,male
34,5957_id,17,305,119,21.0,bachelor,female
35,5830_id,16,323,130,19.0,bachelor,male
36,2995_id,13,110,39,20.0,bachelor,female
37,929_id,13,76,14,21.0,bachelor,female
38,17929_id,39,1035,1733,20.0,bachelor,female
39,1855_id,14,158,23,19.0,bachelor,male
40,230_id,13,16,19,20.0,bachelor,male
41,13423_id,22,508,263,21.0,bachelor,male
42,11480_id,20,368,182,18.0,bachelor,female
43,7254_id,20,313,83,21.0,bachelor,male
44,7241_id,20,289,80,19.0,bachelor,male
45,10102_id,20,463,198,18.0,bachelor,female
46,15628_id,34,665,465,18.0,bachelor,female
47,16022_id,28,663,432,18.0,bachelor,male
48,9229_id,21,422,199,20.0,bachelor,female
49,1014_id,12,79,14,21.0,bachelor,male
50,5972_id,18,245,94,20.0,bachelor,female
51,18388_id,61,788,1838,19.0,bachelor,female
52,4428_id,15,205,63,18.0,bachelor,male
53,15785_id,27,695,410,21.0,bachelor,male
54,11198_id,21,371,214,19.0,bachelor,female
55,9504_id,19,337,192,19.0,bachelor,female
56,12160_id,26,365,264,19.0,bachelor,male
57,12752_id,25,496,265,20.0,bachelor,male
58,8719_id,19,273,178,19.0,bachelor,male
59,8765_id,19,240,169,18.0,bachelor,female
60,13880_id,22,563,272,19.0,bachelor,female
61,6194_id,16,308,140,21.0,bachelor,female
62,10845_id,20,402,219,20.0,bachelor,female
63,466_id,12,30,19,19.0,bachelor,female
64,14408_id,32,527,343,21.0,bachelor,female
65,12837_id,25,569,278,21.0,bachelor,female
66,3515_id,18,221,49,18.0,bachelor,male
67,6712_id,18,265,95,18.0,bachelor,male
68,4620_id,16,192,51,18.0,bachelor,female
69,1852_id,12,129,20,18.0,bachelor,male
70,4613_id,15,233,48,20.0,bachelor,female
71,7245_id,20,254,121,18.0,bachelor,male
72,8243_id,19,331,133,19.0,bachelor,male
73,5397_id,15,179,43,21.0,bachelor,female
74,18847_id,53,1192,4386,18.0,bachelor,male
75,13031_id,23,552,293,21.0,bachelor,female
76,3433_id,18,239,51,18.0,bachelor,male
77,5102_id,17,182,60,19.0,bachelor,male
78,19133_id,68,1282,3879,21.0,bachelor,female
79,1435_id,14,119,37,18.0,bachelor,male
80,13438_id,26,584,282,21.0,bachelor,female
81,2897_id,12,123,24,18.0,bachelor,female
82,2880_id,12,118,35,19.0,bachelor,female
83,12344_id,26,352,313,20.0,bachelor,female
84,3403_id,18,226,65,19.0,bachelor,female
85,18406_id,63,1058,2271,21.0,bachelor,male
86,1455_id,14,119,37,18.0,bachelor,female
87,10257_id,20,339,223,18.0,bachelor,female
88,18587_id,62,1205,3241,18.0,bachelor,male
89,8812_id,20,304,232,20.0,bachelor,male
90,5892_id,15,246,137,21.0,bachelor,male
91,149_id,13,93,18,18.0,bachelor,male
92,16598_id,38,670,845,18.0,bachelor,male
93,19006_id,69,1256,3074,21.0,bachelor,male
94,5283_id,17,216,44,20.0,bachelor,male
95,5727_id,15,175,120,20.0,bachelor,female
96,9324_id,19,445,228,18.0,bachelor,male
97,10456_id,20,340,169,19.0,bachelor,male
98,15487_id,28,664,336,18.0,bachelor,female
99,7989_id,20,306,112,18.0,bachelor,male
100,4605_id,18,172,56,19.0,bachelor,male
101,13095_id,22,486,302,18.0,bachelor,male
102,12386_id,26,579,280,18.0,bachelor,male
103,18668_id,62,1110,3198,18.0,bachelor,female
104,19335_id,67,1668,7297,18.0,bachelor,male
105,9938_id,20,363,185,18.0,bachelor,male
106,7376_id,20,290,134,18.0,bachelor,male
107,11332_id,20,440,158,20.0,bachelor,female
